id,Target,Stance,Location
1.27791E+18,face_masks,FAVOR,CA
1.32649E+18,face_masks,FAVOR,NJ
1.26534E+18,face_masks,AGAINST,TN
1.27384E+18,face_masks,NONE,MT
1.26823E+18,face_masks,NONE,IN
1.32767E+18,face_masks,NONE,IA
1.27491E+18,face_masks,FAVOR,SC
1.30959E+18,face_masks,AGAINST,FL
1.31817E+18,face_masks,FAVOR,PA
1.32878E+18,face_masks,AGAINST,TX
1.27667E+18,face_masks,AGAINST,PA
1.32943E+18,face_masks,AGAINST,AZ
1.27731E+18,face_masks,FAVOR,FL
1.31206E+18,face_masks,FAVOR,USA
1.2951E+18,face_masks,NONE,USA
1.25307E+18,face_masks,NONE,TX
1.33645E+18,face_masks,NONE,CA
1.25077E+18,face_masks,FAVOR,MN
1.26062E+18,face_masks,FAVOR,PA
1.2893E+18,face_masks,AGAINST,GA
1.28379E+18,face_masks,AGAINST,TX
1.28135E+18,face_masks,NONE,OH
1.3162E+18,face_masks,NONE,NY
1.31896E+18,face_masks,NONE,FL
1.28094E+18,face_masks,NONE,TX
1.28164E+18,face_masks,NONE,MI
1.34121E+18,face_masks,AGAINST,HI
1.33276E+18,face_masks,FAVOR,DE
1.31694E+18,face_masks,FAVOR,NY
1.27743E+18,face_masks,FAVOR,NV
1.34372E+18,face_masks,NONE,AZ
1.33683E+18,face_masks,NONE,CA
1.32847E+18,face_masks,NONE,TN
1.29348E+18,face_masks,AGAINST,IL
1.33127E+18,face_masks,FAVOR,FL
1.28663E+18,face_masks,FAVOR,NY
1.2874E+18,face_masks,NONE,USA
1.27796E+18,face_masks,AGAINST,MI
1.32953E+18,face_masks,NONE,NH
1.31531E+18,face_masks,NONE,NY
1.32876E+18,face_masks,FAVOR,TX
1.27668E+18,face_masks,FAVOR,PA
1.3436E+18,face_masks,AGAINST,NM
1.31459E+18,face_masks,FAVOR,OH
1.26287E+18,face_masks,FAVOR,DC
1.33104E+18,face_masks,AGAINST,MO
1.31695E+18,face_masks,AGAINST,NC
1.26135E+18,face_masks,AGAINST,WV
1.30598E+18,face_masks,NONE,ME
1.25151E+18,face_masks,FAVOR,PA
1.34442E+18,face_masks,NONE,NV
1.28552E+18,face_masks,NONE,VA
1.29544E+18,face_masks,FAVOR,TN
1.25379E+18,face_masks,FAVOR,MD
1.32836E+18,face_masks,FAVOR,TN
1.29191E+18,face_masks,AGAINST,DE
1.28569E+18,face_masks,NONE,DC
1.32762E+18,face_masks,NONE,AZ
1.29113E+18,face_masks,NONE,OH
1.3309E+18,face_masks,FAVOR,CA
1.27803E+18,face_masks,AGAINST,GA
1.32985E+18,face_masks,FAVOR,FL
1.32213E+18,face_masks,FAVOR,IA
1.3351E+18,face_masks,FAVOR,CA
1.33082E+18,face_masks,AGAINST,MO
1.32629E+18,face_masks,FAVOR,OH
1.32949E+18,face_masks,NONE,TN
1.26466E+18,face_masks,FAVOR,CA
1.32677E+18,face_masks,NONE,IL
1.32691E+18,face_masks,FAVOR,USA
1.3291E+18,face_masks,NONE,TX
1.31948E+18,face_masks,FAVOR,NY
1.32665E+18,face_masks,FAVOR,IA
1.25639E+18,face_masks,AGAINST,CA
1.29373E+18,face_masks,FAVOR,FL
1.27806E+18,face_masks,AGAINST,TX
1.28635E+18,face_masks,NONE,CA
1.28085E+18,face_masks,AGAINST,OH
1.30925E+18,face_masks,AGAINST,TN
1.27188E+18,face_masks,FAVOR,PA
1.31717E+18,face_masks,FAVOR,MI
1.30076E+18,face_masks,NONE,OR
1.26033E+18,face_masks,NONE,NY
1.2635E+18,face_masks,NONE,OH
1.27605E+18,face_masks,AGAINST,TX
1.33502E+18,face_masks,FAVOR,AZ
1.28524E+18,face_masks,NONE,OH
1.31465E+18,face_masks,FAVOR,NM
1.2646E+18,face_masks,FAVOR,WI
1.3182E+18,face_masks,NONE,PA
1.29374E+18,face_masks,AGAINST,NC
1.31191E+18,face_masks,FAVOR,CA
1.33081E+18,face_masks,FAVOR,TX
1.33436E+18,face_masks,FAVOR,MN
1.28523E+18,face_masks,AGAINST,TX
1.31055E+18,face_masks,AGAINST,FL
1.32225E+18,face_masks,NONE,CA
1.25306E+18,face_masks,FAVOR,TX
1.26087E+18,face_masks,NONE,PA
1.3258E+18,face_masks,AGAINST,FL
1.27841E+18,face_masks,NONE,NY
1.2881E+18,face_masks,NONE,NY
1.29084E+18,face_masks,FAVOR,IA
1.32914E+18,face_masks,AGAINST,CA
1.32881E+18,face_masks,NONE,CA
1.28116E+18,face_masks,AGAINST,OR
1.24327E+18,face_masks,AGAINST,CO
1.32072E+18,face_masks,FAVOR,LA
1.28285E+18,face_masks,FAVOR,CA
1.32734E+18,face_masks,NONE,VA
1.2336E+18,face_masks,FAVOR,NY
1.32693E+18,face_masks,NONE,OK
1.33816E+18,face_masks,AGAINST,CA
1.30946E+18,face_masks,AGAINST,USA
1.32148E+18,face_masks,NONE,DC
