id,target,stance
1.32566E+18,Vaccination,NONE
1.32567E+18,Vaccination,FAVOR
1.32567E+18,Vaccination,FAVOR
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,FAVOR
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,AGAINST
1.32567E+18,Vaccination,FAVOR
1.32567E+18,Vaccination,AGAINST
1.32567E+18,Vaccination,AGAINST
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,FAVOR
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,AGAINST
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,NONE
1.32567E+18,Vaccination,NONE
1.32568E+18,Vaccination,AGAINST
1.32568E+18,Vaccination,NONE
1.32568E+18,Vaccination,NONE
1.32568E+18,Vaccination,NONE
1.32568E+18,Vaccination,NONE
1.32568E+18,Vaccination,AGAINST
1.32568E+18,Vaccination,NONE
1.32568E+18,Vaccination,FAVOR
1.32568E+18,Vaccination,NONE
1.32568E+18,Vaccination,NONE
1.32568E+18,Vaccination,NONE
1.32568E+18,Vaccination,NONE
1.32568E+18,Vaccination,FAVOR
1.32568E+18,Vaccination,AGAINST
1.32568E+18,Vaccination,NONE
1.32568E+18,Vaccination,FAVOR
1.32568E+18,Vaccination,FAVOR
1.32568E+18,Vaccination,AGAINST
1.32568E+18,Vaccination,NONE
1.32568E+18,Vaccination,FAVOR
1.32568E+18,Vaccination,NONE
1.32568E+18,Vaccination,FAVOR
1.32568E+18,Vaccination,AGAINST
1.32568E+18,Vaccination,NONE
1.32568E+18,Vaccination,FAVOR
1.32568E+18,Vaccination,NONE
1.32568E+18,Vaccination,NONE
1.32568E+18,Vaccination,NONE
1.32568E+18,Vaccination,NONE
1.32569E+18,Vaccination,AGAINST
1.32569E+18,Vaccination,FAVOR
1.32569E+18,Vaccination,NONE
1.32569E+18,Vaccination,NONE
1.32569E+18,Vaccination,NONE
1.32569E+18,Vaccination,AGAINST
1.32569E+18,Vaccination,AGAINST
1.32569E+18,Vaccination,AGAINST
1.32569E+18,Vaccination,AGAINST
1.32569E+18,Vaccination,NONE
1.32569E+18,Vaccination,AGAINST
1.32569E+18,Vaccination,NONE
1.32569E+18,Vaccination,NONE
1.32569E+18,Vaccination,NONE
1.32569E+18,Vaccination,NONE
1.32569E+18,Vaccination,NONE
1.32569E+18,Vaccination,AGAINST
1.32569E+18,Vaccination,NONE
1.32569E+18,Vaccination,NONE
1.32569E+18,Vaccination,AGAINST
1.32569E+18,Vaccination,FAVOR
1.32569E+18,Vaccination,NONE
1.32569E+18,Vaccination,NONE
1.32569E+18,Vaccination,FAVOR
1.32569E+18,Vaccination,AGAINST
1.32569E+18,Vaccination,FAVOR
1.32569E+18,Vaccination,NONE
1.32569E+18,Vaccination,NONE
1.3257E+18,Vaccination,FAVOR
1.3257E+18,Vaccination,FAVOR
1.3257E+18,Vaccination,NONE
1.3257E+18,Vaccination,NONE
1.3257E+18,Vaccination,NONE
1.3257E+18,Vaccination,NONE
1.3257E+18,Vaccination,NONE
1.3257E+18,Vaccination,FAVOR
1.3257E+18,Vaccination,AGAINST
1.3257E+18,Vaccination,NONE
1.3257E+18,Vaccination,NONE
1.3257E+18,Vaccination,NONE
1.3257E+18,Vaccination,AGAINST
1.3257E+18,Vaccination,FAVOR
1.3257E+18,Vaccination,NONE
1.3257E+18,Vaccination,NONE
1.3257E+18,Vaccination,NONE
1.3257E+18,Vaccination,NONE
1.3257E+18,Vaccination,FAVOR
1.3257E+18,Vaccination,NONE
1.3257E+18,Vaccination,AGAINST
1.3257E+18,Vaccination,NONE
1.3257E+18,Vaccination,AGAINST
1.3257E+18,Vaccination,FAVOR
1.3257E+18,Vaccination,NONE
1.3257E+18,Vaccination,NONE
1.3257E+18,Vaccination,FAVOR
1.32571E+18,Vaccination,AGAINST
1.32571E+18,Vaccination,NONE
1.32571E+18,Vaccination,FAVOR
1.32571E+18,Vaccination,NONE
1.32571E+18,Vaccination,NONE
1.32571E+18,Vaccination,AGAINST
1.32571E+18,Vaccination,NONE
1.32571E+18,Vaccination,NONE
1.32571E+18,Vaccination,AGAINST
1.32571E+18,Vaccination,AGAINST
1.32571E+18,Vaccination,NONE
1.32571E+18,Vaccination,AGAINST
1.32571E+18,Vaccination,NONE
1.32571E+18,Vaccination,NONE
1.32571E+18,Vaccination,NONE
1.32571E+18,Vaccination,NONE
1.32571E+18,Vaccination,AGAINST
1.32571E+18,Vaccination,AGAINST
1.32571E+18,Vaccination,NONE
1.32571E+18,Vaccination,AGAINST
1.32571E+18,Vaccination,NONE
1.32571E+18,Vaccination,FAVOR
1.32571E+18,Vaccination,NONE
1.32572E+18,Vaccination,NONE
1.32572E+18,Vaccination,NONE
1.32572E+18,Vaccination,NONE
1.32572E+18,Vaccination,NONE
1.32572E+18,Vaccination,NONE
1.32572E+18,Vaccination,AGAINST
1.32572E+18,Vaccination,AGAINST
1.32572E+18,Vaccination,NONE
1.32572E+18,Vaccination,NONE
1.32572E+18,Vaccination,FAVOR
1.32573E+18,Vaccination,AGAINST
1.32573E+18,Vaccination,AGAINST
1.32573E+18,Vaccination,NONE
1.32574E+18,Vaccination,AGAINST
1.32575E+18,Vaccination,AGAINST
1.32575E+18,Vaccination,NONE
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,AGAINST
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,AGAINST
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,AGAINST
1.32577E+18,Vaccination,AGAINST
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,AGAINST
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,AGAINST
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,AGAINST
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,AGAINST
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,NONE
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,AGAINST
1.32577E+18,Vaccination,FAVOR
1.32577E+18,Vaccination,AGAINST
1.32577E+18,Vaccination,AGAINST
